k,celula,modelo,estadoTramas,numAgentes,jogador,mundo,tipo,sessoes,prop_fechadas_estab_media,ic95_inf,ic95_sup,prop_fechadas_estab_mediana,prop_fundidas_media,tramas_nascidas_media,sessoes_que_convergem_emenda1,prop_fechadas_v01_media,sessoes_que_convergem_v01
5,porto-das-brumas_claude-cli-claude-haiku-4-5-20251001_controle-tres-atos_jog-investigador,claude-cli/claude-haiku-4-5-20251001,nao-informa,0,investigador,porto-das-brumas,controle-tres-atos,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,porto-das-brumas_claude-cli-claude-haiku-4-5-20251001_informa_6ag_jog-nenhum,claude-cli/claude-haiku-4-5-20251001,informa,6,nenhum,porto-das-brumas,cidade-viva,1,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,1.0
5,porto-das-brumas_claude-cli-claude-haiku-4-5-20251001_nao-informa_6ag_jog-nenhum,claude-cli/claude-haiku-4-5-20251001,nao-informa,6,nenhum,porto-das-brumas,cidade-viva,1,0.25,0.25,0.25,0.25,0.5,4.0,0.0,0.5,1.0
5,porto-das-brumas_claude-cli-claude-opus-5_controle-tres-atos_jog-investigador,claude-cli/claude-opus-5,nao-informa,0,investigador,porto-das-brumas,controle-tres-atos,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,porto-das-brumas_claude-cli-claude-opus-5_informa_6ag_jog-nenhum,claude-cli/claude-opus-5,informa,6,nenhum,porto-das-brumas,cidade-viva,1,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,1.0
5,porto-das-brumas_claude-cli-claude-opus-5_nao-informa_6ag_jog-nenhum,claude-cli/claude-opus-5,nao-informa,6,nenhum,porto-das-brumas,cidade-viva,1,0.0,0.0,0.0,0.0,0.6666666666666666,3.0,0.0,0.0,1.0
5,porto-das-brumas_claude-cli-claude-sonnet-4-6_controle-tres-atos_jog-investigador,claude-cli/claude-sonnet-4-6,nao-informa,0,investigador,porto-das-brumas,controle-tres-atos,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
5,porto-das-brumas_claude-cli-claude-sonnet-4-6_informa_6ag_jog-nenhum,claude-cli/claude-sonnet-4-6,informa,6,nenhum,porto-das-brumas,cidade-viva,1,0.0,0.0,0.0,0.0,0.6666666666666666,3.0,0.0,0.0,1.0
5,porto-das-brumas_claude-cli-claude-sonnet-4-6_nao-informa_6ag_jog-nenhum,claude-cli/claude-sonnet-4-6,nao-informa,6,nenhum,porto-das-brumas,cidade-viva,1,0.0,0.0,0.0,0.0,0.8,5.0,0.0,0.0,1.0
5,porto-das-brumas_claude-cli-claude-sonnet-5_controle-tres-atos_jog-investigador,claude-cli/claude-sonnet-5,nao-informa,0,investigador,porto-das-brumas,controle-tres-atos,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,porto-das-brumas_claude-cli-claude-sonnet-5_informa_6ag_jog-nenhum,claude-cli/claude-sonnet-5,informa,6,nenhum,porto-das-brumas,cidade-viva,1,0.2,0.2,0.2,0.2,0.6,5.0,1.0,0.5,1.0
5,porto-das-brumas_claude-cli-claude-sonnet-5_nao-informa_6ag_jog-nenhum,claude-cli/claude-sonnet-5,nao-informa,6,nenhum,porto-das-brumas,cidade-viva,1,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,1.0
5,vale-silente_claude-cli-claude-haiku-4-5-20251001_controle-tres-atos_jog-investigador,claude-cli/claude-haiku-4-5-20251001,nao-informa,0,investigador,vale-silente,controle-tres-atos,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,vale-silente_claude-cli-claude-haiku-4-5-20251001_informa_6ag_jog-nenhum,claude-cli/claude-haiku-4-5-20251001,informa,6,nenhum,vale-silente,cidade-viva,1,0.4,0.4,0.4,0.4,0.0,5.0,1.0,0.4,1.0
5,vale-silente_claude-cli-claude-haiku-4-5-20251001_nao-informa_6ag_jog-nenhum,claude-cli/claude-haiku-4-5-20251001,nao-informa,6,nenhum,vale-silente,cidade-viva,1,0.0,0.0,0.0,0.0,0.8333333333333334,6.0,0.0,0.0,1.0
5,vale-silente_claude-cli-claude-opus-5_controle-tres-atos_jog-investigador,claude-cli/claude-opus-5,nao-informa,0,investigador,vale-silente,controle-tres-atos,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,vale-silente_claude-cli-claude-opus-5_informa_6ag_jog-nenhum,claude-cli/claude-opus-5,informa,6,nenhum,vale-silente,cidade-viva,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,vale-silente_claude-cli-claude-opus-5_nao-informa_6ag_jog-nenhum,claude-cli/claude-opus-5,nao-informa,6,nenhum,vale-silente,cidade-viva,1,0.0,0.0,0.0,0.0,0.5,2.0,0.0,0.0,1.0
5,vale-silente_claude-cli-claude-sonnet-4-6_controle-tres-atos_jog-investigador,claude-cli/claude-sonnet-4-6,nao-informa,0,investigador,vale-silente,controle-tres-atos,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,vale-silente_claude-cli-claude-sonnet-4-6_informa_6ag_jog-nenhum,claude-cli/claude-sonnet-4-6,informa,6,nenhum,vale-silente,cidade-viva,1,0.0,0.0,0.0,0.0,0.8333333333333334,6.0,0.0,0.0,1.0
5,vale-silente_claude-cli-claude-sonnet-4-6_nao-informa_6ag_jog-nenhum,claude-cli/claude-sonnet-4-6,nao-informa,6,nenhum,vale-silente,cidade-viva,1,0.0,0.0,0.0,0.0,0.8,5.0,0.0,0.0,1.0
5,vale-silente_claude-cli-claude-sonnet-5_controle-tres-atos_jog-investigador,claude-cli/claude-sonnet-5,nao-informa,0,investigador,vale-silente,controle-tres-atos,1,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
5,vale-silente_claude-cli-claude-sonnet-5_informa_6ag_jog-nenhum,claude-cli/claude-sonnet-5,informa,6,nenhum,vale-silente,cidade-viva,1,0.2,0.2,0.2,0.2,0.6,5.0,1.0,0.5,0.0
5,vale-silente_claude-cli-claude-sonnet-5_nao-informa_6ag_jog-nenhum,claude-cli/claude-sonnet-5,nao-informa,6,nenhum,vale-silente,cidade-viva,1,0.2,0.2,0.2,0.2,0.6,5.0,1.0,0.5,1.0
