k,dimensao,a,b,n_a,n_b,mediana_a,mediana_b,U,p,bisserial_postos,p_holm,significativo_0.05
5,modelo,claude-cli/claude-haiku-4-5-20251001,claude-cli/claude-opus-5,4,4,0.125,0.0,12.0,0.18587673236587587,-0.5,1.0,False
5,modelo,claude-cli/claude-haiku-4-5-20251001,claude-cli/claude-sonnet-4-6,4,4,0.125,0.0,12.0,0.18587673236587587,-0.5,1.0,False
5,modelo,claude-cli/claude-haiku-4-5-20251001,claude-cli/claude-sonnet-5,4,4,0.125,0.2,9.0,0.8793886590272973,-0.125,1.0,False
5,modelo,claude-cli/claude-opus-5,claude-cli/claude-sonnet-4-6,4,4,0.0,0.0,8.0,1.0,0.0,1.0,False
5,modelo,claude-cli/claude-opus-5,claude-cli/claude-sonnet-5,4,4,0.0,0.2,2.0,0.06029808713337021,0.75,0.7235770456004426,False
5,modelo,claude-cli/claude-sonnet-4-6,claude-cli/claude-sonnet-5,4,4,0.0,0.2,2.0,0.06029808713337021,0.75,0.7235770456004426,False
5,estadoTramas,informa,nao-informa,8,8,0.0,0.0,36.0,0.6535286639793843,-0.125,1.0,False
5,mundo,porto-das-brumas,vale-silente,8,8,0.0,0.0,28.0,0.6535286639793843,0.125,1.0,False
5,tipo,cidade-viva [claude-cli/claude-haiku-4-5-20251001],controle-tres-atos [claude-cli/claude-haiku-4-5-20251001],4,2,0.125,0.0,6.0,0.41131379177625893,-0.5,1.0,False
5,tipo,cidade-viva [claude-cli/claude-opus-5],controle-tres-atos [claude-cli/claude-opus-5],4,2,0.0,0.0,4.0,1.0,0.0,1.0,False
5,tipo,cidade-viva [claude-cli/claude-sonnet-4-6],controle-tres-atos [claude-cli/claude-sonnet-4-6],4,2,0.0,0.0,4.0,1.0,0.0,1.0,False
5,tipo,cidade-viva [claude-cli/claude-sonnet-5],controle-tres-atos [claude-cli/claude-sonnet-5],4,2,0.2,0.0,7.0,0.18763232999488433,-0.75,1.0,False
